product_name,price,rating,number_of_reviews,product_url
Men's Black Make Tracks Graphic Printed Vest,269,4.7,6 reviews,https://www.bewakoof.com/p/make-tracks-round-neck-vest-black
Men's India Ink Casual Shorts,617,4.7,23 reviews,https://www.bewakoof.com/p/plain-men-blue-73
Men's Merlin Blue Boxers,249,4.7,16 reviews,https://www.bewakoof.com/p/merlin-blue-plain-boxer-for-men
Red Passion Plain Boxer,249,4.8,34 reviews,https://www.bewakoof.com/p/red-passion-plain-boxer-for-men
Yolo Yellow Stripe Shirt,445,4.8,14 reviews,https://www.bewakoof.com/p/empire-yellow-mens-stripe-shirt-men
Men's Olive Puffer Jacket,1999,4.8,17 reviews,https://www.bewakoof.com/p/olive-puffer-jacket-aw-21
Men's Cream Shirt,509,4.9,2 reviews,https://www.bewakoof.com/p/cream-half-sleeves-shirt-men
Chul Bul Panda Dark Grey Vest,419,N/A,N/A,https://www.bewakoof.com/p/bushirt-chul-bul-panda-dark-grey-vest
Men's Green Striped Plus Size Oversized T-shirt,674,5,N/A,https://www.bewakoof.com/p/instafab-plus-men-striped-stylish-half-sleeve-casual-t-shirts8
Womens Grey Slipper,399,4.8,10 reviews,https://www.bewakoof.com/p/freeco-womens-grey-slipper
Men's Blue Checks Stylish Full Sleeve Casual Shirt,999,5,1 reviews,https://www.bewakoof.com/p/instafab-plus-men-checks-stylish-full-sleeve-casual-shirts28
Why So Serious Black Vest,419,N/A,N/A,https://www.bewakoof.com/p/bushirt-why-so-serious-black-vest
Men's Black 4line Classy Flip Flops & Sliders,349,4.2,9 reviews,https://www.bewakoof.com/p/pampy-angel-4line-classy-black-slipper-flipflops-slides-for-men
